OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
199,22-211,Section Eleven Lake,Dickinson,,LMN,1,-88.02982000000,46.05276000000,342825.79475000000,613214.62956000000,,,
200,22-212,Bush Lake,Dickinson,,LMN,1,-88.10926000000,46.02971000000,336613.12961000000,610813.44442000000,,,
201,22-216,Gestner Lake,Dickinson,,LMN,1,-88.08593000000,46.00054000000,338333.61822000000,607525.79798000000,,,
202,2-223,Scout Lake,Alger,,LMN,1,-86.65010000000,46.24693000000,449724.61723000000,632991.62162000000,,,
203,22-232,Horseshoe Lake,Dickinson,,LMN,1,-87.84593000000,46.14776000000,357294.07157000000,623421.57653000000,,,
204,22-236,Pickerel Lake,Dickinson,,LMN,1,-87.80982000000,46.08026000000,359911.55749000000,615858.68509000000,,,
205,22-249,Fox Lake,Dickinson,,LMN,1,-88.04909000000,46.10309000000,341479.32445000000,618843.79683000000,,,
206,22-253,Robbins Pond,Dickinson,,LMN,1,-88.04788000000,46.07499000000,341492.87877000000,615719.07396000000,,,
207,22-256,Kates Lake,Dickinson,,LMN,1,-87.65149000000,46.24443000000,372531.22170000000,633830.26641000000,,,
208,22-258,Little Kates Lake,Dickinson,,LMN,1,-87.67260000000,46.24360000000,370902.04848000000,633771.78339000000,,,
209,22-262,Kemp Lake,Dickinson,,LMN,1,-87.72298000000,46.20672000000,366929.97674000000,629757.88937000000,,,
210,22-263,Cady Lake,Dickinson,,LMN,1,-87.69315000000,46.20165000000,369218.23374000000,629145.60367000000,,,
211,22-27,Hanbury Lake,Dickinson,,LMN,1,-87.87926000000,45.78110000000,353758.31948000000,582748.74262000000,,,
212,22-272,"Thirtysix, Lake",Dickinson,,LMN,1,-87.63177000000,46.16360000000,373866.93669000000,624818.65482000000,,,
213,22-282,O'Neil Lake,Dickinson,,LMN,1,-87.85482000000,46.22526000000,356808.85518000000,632047.20994000000,,,
214,22-289,Van Derlin Lake,Dickinson,,LMN,1,-87.84732000000,46.21471000000,357359.84507000000,630861.02975000000,,,
215,22-292,Mud Lake,Dickinson,,LMN,1,-87.85038000000,46.16971000000,357007.65503000000,625867.36626000000,,,
216,22-293,Little Mud Lake,Dickinson,,LMN,1,-87.83365000000,46.16352000000,358282.74205000000,625150.14796000000,,,
217,22-320,Cameron Lake,Dickinson,,LMN,1,-88.03343000000,46.23860000000,343075.30273000000,633865.81791000000,,,
218,22-330,Coy Lake,Dickinson,,LMN,1,-88.09260000000,46.23887000000,338515.32675000000,634015.35207000000,,,
219,22-331,Pickerel Lake,Dickinson,,LMN,1,-88.09621000000,46.24443000000,338253.29619000000,634639.80230000000,,,
220,36-490,Crescent Pond,Iron,,LMN,1,-88.11843000000,46.21971000000,336467.16906000000,631939.00107000000,,,
221,2-234,Sixteenmile Lake,Alger,,LMN,1,-86.76149000000,46.30388000000,441198.67716000000,639394.54743000000,,,
222,22-342,Cassagranda Lake,Dickinson,,LMN,1,-88.09526000000,46.23009000000,338284.68402000000,633044.42074000000,,,
223,22-343,Parlemee Lake,Dickinson,,LMN,1,-88.01288000000,46.22776000000,344629.21992000000,632621.96064000000,,,
