Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
12337,3409,6/20/02,Status & Trends,BLG,1.9,2,,Round Lake,30-276
12337,3409,6/21/02,Status & Trends,BLG,1.9,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.1,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.1,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.1,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.2,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.2,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.4,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.5,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.6,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.7,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,2.7,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,3.1,2,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,4.6,3,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,5,3,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,4.3,3,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,4.8,3,,Round Lake,30-276
